date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:55	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.4e.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/signup.html)
17:47:56	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.4f.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/charts.html)
17:47:56	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.50.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/inbox.html)
17:47:57	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.51.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/inbox-details.html)
17:47:58	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.52.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/404.html)
17:47:58	125785/125785	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/hover.css	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/css/hover.css	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/buttons.html)
17:47:59	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.54.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/blank.html)
17:47:59	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.55.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
17:47:59	86211/86211	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:50%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/404.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/404.png	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/404.html)
17:48:00	29891/29891	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:21%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro1.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro1.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
